Num_Acc,date,an,mois,jour,hrmn,dep,com,lat,long,agg,int,col,lum,atm,catr,circ,nbv,prof,plan,lartpc,larrout,surf,infra,situ,grav,sexe,age,trajet,secuexist,equipement,obs,obsm,choc,manv,vehiculeid,typevehicules,manoeuvehicules,numVehicules,_infos_commune.code_epci
200500000030,2005-01-13,2005,janvier,jeudi,19:45,62,62331,50.3,2.84,2,1,3,5,1,3,2,00,-1,1,0,50,1,0,1,4,1,58,5,3,0,0,2,8,11,200500000030B02,18,17,1,200033579
200500000034,2005-01-19,2005,janvier,mercredi,10:45,62,62022,0,0,1,1,1,1,7,3,2,00,1,3,0,50,1,0,1,3,1,20,5,3,0,0,2,1,1,200500000034B02,10,15,1,200018083
200500000078,2005-01-26,2005,janvier,mercredi,13:15,02,02173,0,0,1,9,3,1,1,3,2,02,2,1,0,0,1,0,1,4,1,71,5,2,2,0,2,1,1,200500000078B02,7,15,1,200071785
200500000093,2005-01-03,2005,janvier,lundi,13:30,02,02810,49.255,3.094,2,1,1,1,1,3,2,00,1,2,0,52,1,0,1,3,2,51,4,3,0,0,2,3,21,200500000093B02,7,21,1,200071991
200500000170,2005-01-29,2005,janvier,samedi,18:30,76,76196,0,0,1,1,2,3,1,3,2,02,1,1,0,50,1,0,1,4,1,74,5,1,9,0,2,4,2,200500000170A01,10,2,1,200084952
200500000246,2005-01-23,2005,janvier,dimanche,18:00,35,35207,0,0,2,6,1,1,1,3,-1,00,1,-1,0,60,1,5,1,3,1,46,5,1,2,0,2,7,1,200500000246B02,7,0,1,243500659
200500000260,2005-01-04,2005,janvier,mardi,16:45,22,22143,48.59,-2.3,2,2,1,1,1,4,2,00,2,1,0,0,1,0,1,3,1,12,5,3,0,0,2,1,5,200500000260B02,7,1,1,200068989
200500000273,2005-01-05,2005,janvier,mercredi,17:30,29,29069,0,0,2,1,3,1,1,4,2,02,1,1,0,60,1,0,1,4,1,11,5,3,0,0,2,1,9,200500000273B02,7,1,1,242900314
200500000282,2005-01-08,2005,janvier,samedi,10:30,29,29027,0,0,1,1,1,1,1,3,2,02,-1,3,0,72,1,5,1,3,1,58,5,1,2,0,0,4,19,200500000282B02,7,1,1,242900561
200500000287,2005-01-13,2005,janvier,jeudi,15:00,29,29068,0,0,2,1,1,1,7,3,2,00,-1,1,0,70,1,0,1,4,1,76,0,1,2,0,2,1,1,200500000287B02,7,15,1,242900751
200500000291,2005-01-24,2005,janvier,lundi,17:30,56,56155,47.485,-2.467,2,1,3,1,1,4,2,01,1,1,0,0,1,0,1,4,1,61,0,1,2,0,2,3,15,200500000291B02,7,1,1,244400610
200500000295,2005-01-03,2005,janvier,lundi,17:30,56,56078,0,0,1,1,2,2,8,3,2,00,-1,-1,0,70,2,0,1,3,1,73,4,3,0,0,2,4,1,200500000295A01,5,1,1,200042174
200500000304,2005-01-02,2005,janvier,dimanche,09:30,14,14543,0,0,2,3,3,1,1,3,2,02,1,1,0,44,1,0,1,3,1,51,5,1,2,0,2,3,1,200500000304A01,7,16,1,200065597
200500000322,2005-01-05,2005,janvier,mercredi,22:15,14,14563,0,0,1,1,2,1,1,2,2,00,4,1,0,100,1,0,1,4,2,71,0,1,2,0,2,4,1,200500000322B02,7,1,1,241400878
200500000329,2005-01-04,2005,janvier,mardi,19:00,50,50213,49.086,-1.092,1,1,2,3,8,3,2,02,1,1,0,54,2,0,1,2,2,73,3,3,0,0,2,4,13,200500000329B02,7,2,1,
