Num_Acc,date,lat,long,age,grav,sexe,atm,lum,dep,larrout,hour
200500000030,2005-01-13,50.3,2.84,58,4,1,1.0,5,62,50.0,19
200500000093,2005-01-03,49.255,3.094,51,3,2,1.0,1,02,52.0,13
200500000329,2005-01-04,49.086,-1.092,73,2,2,8.0,3,50,54.0,19
200500000342,2005-01-12,49.531,-1.594,54,3,1,1.0,1,50,32.0,15
200500000345,2005-01-02,49.687,-1.454,58,3,1,1.0,1,50,48.0,16
200500000402,2005-01-10,47.419,-0.311,18,3,2,1.0,1,49,60.0,22
200500000403,2005-01-12,47.425,-0.451,56,3,1,1.0,1,49,105.0,15
200500000453,2005-01-03,46.338,-1.309,81,3,1,1.0,1,85,60.0,12
200500000744,2005-01-09,43.678,-0.084,34,3,1,1.0,1,32,70.0,11
200500001035,2005-01-19,49.182,6.648,55,4,1,7.0,1,57,61.0,18
200500001117,2005-01-04,48.786,7.867,81,4,2,1.0,1,67,60.0,9
200500001129,2005-01-04,48.619,7.662,32,4,1,1.0,3,67,69.0,19
200500001159,2005-01-10,47.783,7.369,51,3,1,1.0,5,68,120.0,18
200500001174,2005-01-04,48.837,3.947,71,2,2,7.0,1,51,60.0,15
200500001188,2005-01-29,49.134,3.853,15,2,1,1.0,3,51,41.0,18
200500001213,2005-01-21,48.509,3.455,21,3,2,1.0,1,10,71.0,12
200500001215,2005-01-11,48.524,3.726,16,3,1,1.0,1,10,80.0,8
200500001313,2005-01-11,47.529,6.858,36,4,1,7.0,1,25,60.0,15
200500001338,2005-01-26,47.679,6.506,57,3,1,1.0,1,70,61.0,13
200500001519,2005-01-30,43.064,2.221,71,4,1,1.0,1,11,70.0,14
200500001727,2005-01-03,47.259,1.61,54,3,1,5.0,3,36,50.0,20
200500002018,2005-01-26,47.763,-3.133,59,3,1,1.0,1,56,36.0,15
200500010466,2005-02-16,50.517,3.498,15,4,1,1.0,3,59,37.0,18
200500010479,2005-02-16,50.646,2.82,16,3,1,1.0,1,62,66.0,10
200500010546,2005-02-27,49.361,3.294,6,3,2,1.0,1,02,54.0,16
200500010588,2005-02-23,49.487,1.015,51,4,1,1.0,1,76,90.0,16
200500010688,2005-02-18,47.78,-2.71,48,3,1,1.0,1,56,55.0,17
200500010748,2005-02-01,48.771,-0.053,71,2,1,1.0,1,61,73.0,13
200500010830,2005-02-09,46.596,-0.98,14,3,1,1.0,1,85,60.0,17
200500010983,2005-02-23,45.348,1.756,14,4,1,1.0,1,19,53.0,13
200500011001,2005-02-06,43.723,1.507,42,3,1,1.0,1,31,60.0,12
200500011098,2005-02-20,46.396,5.04,80,4,1,1.0,1,01,58.0,13
200500011181,2005-02-04,45.681,5.895,51,2,1,1.0,1,73,102.0,13
200500011755,2005-02-16,47.115,2.587,36,2,1,1.0,1,18,62.0,17
200500011770,2005-02-07,48.801,1.403,70,4,1,1.0,1,28,72.0,15
200500011873,2005-02-21,43.799,4.423,36,4,1,1.0,1,30,170.0,17
200500012093,2005-03-28,50.485,3.246,65,3,1,1.0,1,59,65.0,17
200500012235,2005-03-20,49.018,1.387,23,4,1,1.0,1,27,71.0,12
200500012244,2005-03-01,49.118,0.457,77,2,1,1.0,1,27,40.0,17
200500012377,2005-03-19,49.494,-1.503,85,3,1,7.0,1,50,60.0,18
200500012416,2005-03-31,47.334,-2.438,13,3,2,1.0,1,44,65.0,16
200500012464,2005-03-26,48.14,0.17,68,4,2,1.0,1,72,60.0,17
200500012570,2005-03-06,43.742,-1.005,79,4,1,1.0,1,40,60.0,12
200500012679,2005-03-16,46.33,-0.58,13,3,1,1.0,1,79,60.0,12
200500012711,2005-03-16,45.587,1.722,63,4,1,1.0,1,19,66.0,14
200500012751,2005-03-30,43.073,0.577,22,3,1,1.0,1,31,40.0,17
200500012810,2005-03-23,43.419,0.053,78,2,2,1.0,1,65,68.0,14
200500012826,2005-03-21,43.509,2.352,11,4,1,1.0,1,81,46.0,12
200500012849,2005-03-21,45.744,4.955,42,4,1,1.0,1,69,75.0,18
200500012903,2005-03-28,44.826,4.81,74,3,1,1.0,1,07,104.0,12
200500012922,2005-03-14,44.517,4.708,78,3,2,1.0,1,26,60.0,14
200500013029,2005-03-21,46.277,6.348,45,3,1,1.0,3,74,80.0,4
200500013039,2005-03-19,45.698,3.223,62,4,1,1.0,1,63,35.0,15
200500013234,2005-03-18,47.78,5.53,14,4,1,1.0,1,52,52.0,17
200500013242,2005-03-07,47.344,4.974,18,3,1,1.0,1,21,90.0,13
200500013325,2005-03-25,47.719,6.844,13,3,1,1.0,1,90,70.0,16
200500013373,2005-03-20,44.54,6.3,52,3,1,1.0,1,05,70.0,9
200500013550,2005-03-05,42.29,9.55,48,1,1,1.0,1,2B,62.0,10
200500013550,2005-03-05,42.29,9.55,49,2,1,1.0,1,2B,62.0,10
200500013550,2005-03-05,42.29,9.55,31,1,1,1.0,1,2B,62.0,10
200500013651,2005-03-11,48.721,1.413,60,4,1,1.0,1,28,67.0,8
200500013717,2005-03-25,44.112,0.354,57,4,1,1.0,1,47,80.0,14
200500013756,2005-03-12,47.398,5.028,47,3,1,4.0,1,21,560.0,14
200500013794,2005-03-22,43.552,1.503,33,4,2,1.0,1,31,85.0,8
